"filename", "language", "JSON with Comments", "JSON", "JavaScript", "PostCSS", "Markdown", "Properties", "HTML", "XML", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\a603\work\intelligent_traffic\frontend\.env", "Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\a603\work\intelligent_traffic\frontend\jsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\a603\work\intelligent_traffic\frontend\package-lock.json", "JSON", 0, 22035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22036
"c:\Users\a603\work\intelligent_traffic\frontend\package.json", "JSON", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\a603\work\intelligent_traffic\frontend\public\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\a603\work\intelligent_traffic\frontend\public\digitalTwinEvent.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 2, 16, 111
"c:\Users\a603\work\intelligent_traffic\frontend\public\events202508.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\a603\work\intelligent_traffic\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 19, 152
"c:\Users\a603\work\intelligent_traffic\frontend\public\junctionEvent.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 10, 9, 59
"c:\Users\a603\work\intelligent_traffic\frontend\public\lightControl.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 11, 7, 89
"c:\Users\a603\work\intelligent_traffic\frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\a603\work\intelligent_traffic\frontend\public\output\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\a603\work\intelligent_traffic\frontend\public\output\manifest.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\a603\work\intelligent_traffic\frontend\src\App.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 6, 3, 96
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\C3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
