Date : 2025-10-20 15:20:30
Directory : c:\Users\a603\work\intelligent_traffic\frontend
Total : 362 files,  64034 codes, 2012 comments, 3561 blanks, all 69607 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     22,361 |          0 |          3 |     22,364 |
| PostCSS            |          8 |     14,818 |         48 |          0 |     14,866 |
| JavaScript JSX     |        102 |      9,767 |        608 |        984 |     11,359 |
| JavaScript         |         83 |      8,986 |        931 |      1,982 |     11,899 |
| SCSS               |        115 |      6,936 |        425 |        460 |      7,821 |
| XML                |         43 |        910 |          0 |         14 |        924 |
| HTML               |          1 |        133 |          0 |         19 |        152 |
| Markdown           |          3 |        114 |          0 |         99 |        213 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
| Properties         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        362 |     64,034 |      2,012 |      3,561 |     69,607 |
| . (Files)                                                                                                                                |          5 |     22,139 |          0 |         35 |     22,174 |
| public                                                                                                                                   |          9 |        447 |         23 |        119 |        589 |
| public (Files)                                                                                                                           |          7 |        406 |         23 |         86 |        515 |
| public\output                                                                                                                            |          2 |         41 |          0 |         33 |         74 |
| src                                                                                                                                      |        336 |     30,645 |      1,588 |      2,581 |     34,814 |
| src (Files)                                                                                                                              |          8 |        581 |         25 |         20 |        626 |
| src\assets                                                                                                                               |         41 |        334 |          0 |         14 |        348 |
| src\assets\icon                                                                                                                          |         39 |        328 |          0 |         12 |        340 |
| src\assets\image                                                                                                                         |          2 |          6 |          0 |          2 |          8 |
| src\components                                                                                                                           |        209 |     15,631 |        933 |      1,354 |     17,918 |
| src\components (Files)                                                                                                                   |         11 |        234 |         44 |         31 |        309 |
| src\components\AMap                                                                                                                      |          2 |        421 |         49 |         52 |        522 |
| src\components\bottoms                                                                                                                   |         12 |      1,603 |         33 |        149 |      1,785 |
| src\components\bottoms\CruiserSetting                                                                                                    |          2 |        315 |          6 |         37 |        358 |
| src\components\bottoms\FlowSpeed                                                                                                         |          2 |        226 |          7 |         16 |        249 |
| src\components\bottoms\GreenWave                                                                                                         |          2 |        331 |          6 |         37 |        374 |
| src\components\bottoms\JunctionGreenFLow                                                                                                 |          2 |        317 |          9 |         28 |        354 |
| src\components\bottoms\JunctionOpt                                                                                                       |          2 |        127 |          2 |          8 |        137 |
| src\components\bottoms\scrollAlert                                                                                                       |          2 |        287 |          3 |         23 |        313 |
| src\components\container                                                                                                                 |        154 |     10,809 |        714 |        920 |     12,443 |
| src\components\container\TextArea                                                                                                        |          2 |        227 |         21 |         31 |        279 |
| src\components\container\Weather                                                                                                         |          2 |         76 |         21 |          6 |        103 |
| src\components\container\cruiser-view                                                                                                    |          2 |         69 |          6 |         13 |         88 |
| src\components\container\cruiser-view\Map                                                                                                |          2 |         69 |          6 |         13 |         88 |
| src\components\container\junction-view                                                                                                   |         42 |      3,655 |        328 |        280 |      4,263 |
| src\components\container\junction-view\Line-container                                                                                    |          1 |        113 |          4 |          7 |        124 |
| src\components\container\junction-view\Pedestrain-optimize                                                                               |          2 |        229 |         17 |          8 |        254 |
| src\components\container\junction-view\Pie-container                                                                                     |          1 |         57 |          0 |          2 |         59 |
| src\components\container\junction-view\Strategy-Compare                                                                                  |          2 |         50 |          1 |          3 |         54 |
| src\components\container\junction-view\Traffic-Flow                                                                                      |          1 |         43 |          0 |          2 |         45 |
| src\components\container\junction-view\Traffic-Overview                                                                                  |          2 |        132 |          1 |         20 |        153 |
| src\components\container\junction-view\newStyle                                                                                          |         26 |      1,861 |        171 |        146 |      2,178 |
| src\components\container\junction-view\newStyle (Files)                                                                                  |         13 |      1,038 |        107 |        111 |      1,256 |
| src\components\container\junction-view\newStyle\css                                                                                      |         13 |        823 |         64 |         35 |        922 |
| src\components\container\junction-view\sidebar-left                                                                                      |          2 |        240 |          6 |         19 |        265 |
| src\components\container\junction-view\sidebar-right                                                                                     |          5 |        930 |        128 |         73 |      1,131 |
| src\components\container\junction-view\sidebar-right (Files)                                                                             |          3 |        875 |        128 |         70 |      1,073 |
| src\components\container\junction-view\sidebar-right\junction                                                                            |          2 |         55 |          0 |          3 |         58 |
| src\components\container\layout                                                                                                          |         74 |      4,736 |        230 |        383 |      5,349 |
| src\components\container\layout\city                                                                                                     |         15 |      1,023 |         19 |         85 |      1,127 |
| src\components\container\layout\city (Files)                                                                                             |          2 |         26 |          0 |          3 |         29 |
| src\components\container\layout\city\css                                                                                                 |          7 |        182 |          7 |          9 |        198 |
| src\components\container\layout\city\even                                                                                                |          1 |         72 |          4 |          5 |         81 |
| src\components\container\layout\city\specialTarget                                                                                       |          1 |         92 |          0 |         11 |        103 |
| src\components\container\layout\city\speedGUage                                                                                          |          1 |        444 |          4 |         28 |        476 |
| src\components\container\layout\city\trafficVolume                                                                                       |          1 |        113 |          4 |         11 |        128 |
| src\components\container\layout\city\violationStatistic                                                                                  |          1 |         79 |          0 |         12 |         91 |
| src\components\container\layout\city\weather                                                                                             |          1 |         15 |          0 |          6 |         21 |
| src\components\container\layout\digitalTwin                                                                                              |         25 |      1,419 |         58 |        137 |      1,614 |
| src\components\container\layout\digitalTwin (Files)                                                                                      |          2 |         32 |          0 |          4 |         36 |
| src\components\container\layout\digitalTwin\OptimiseOverview                                                                             |          1 |         61 |          2 |          8 |         71 |
| src\components\container\layout\digitalTwin\controlModule                                                                                |          1 |         40 |         14 |          3 |         57 |
| src\components\container\layout\digitalTwin\css                                                                                          |         12 |        512 |          8 |         25 |        545 |
| src\components\container\layout\digitalTwin\jamIndex                                                                                     |          1 |         43 |          7 |          6 |         56 |
| src\components\container\layout\digitalTwin\operationAnalysis                                                                            |          1 |        132 |          6 |         13 |        151 |
| src\components\container\layout\digitalTwin\scrollAlert                                                                                  |          1 |         75 |          9 |         18 |        102 |
| src\components\container\layout\digitalTwin\signalJunction                                                                               |          1 |         49 |          5 |         11 |         65 |
| src\components\container\layout\digitalTwin\signalRoad                                                                                   |          1 |         47 |          3 |          9 |         59 |
| src\components\container\layout\digitalTwin\specialTarget                                                                                |          1 |         92 |          0 |         11 |        103 |
| src\components\container\layout\digitalTwin\violationStatistic                                                                           |          1 |         79 |          0 |         12 |         91 |
| src\components\container\layout\digitalTwin\weather                                                                                      |          1 |         15 |          0 |          6 |         21 |
| src\components\container\layout\digitalTwin\wholeIndex                                                                                   |          1 |        242 |          4 |         11 |        257 |
| src\components\container\layout\highway                                                                                                  |         20 |      1,207 |         58 |         76 |      1,341 |
| src\components\container\layout\highway (Files)                                                                                          |          7 |        619 |         32 |         33 |        684 |
| src\components\container\layout\highway\css                                                                                              |         10 |        413 |         21 |         20 |        454 |
| src\components\container\layout\highway\functionIcons                                                                                    |          1 |         47 |          0 |          3 |         50 |
| src\components\container\layout\highway\scrollAlert                                                                                      |          1 |        113 |          5 |         14 |        132 |
| src\components\container\layout\highway\weather                                                                                          |          1 |         15 |          0 |          6 |         21 |
| src\components\container\layout\homeview                                                                                                 |         14 |      1,087 |         95 |         85 |      1,267 |
| src\components\container\layout\homeview (Files)                                                                                         |          5 |        599 |         26 |         34 |        659 |
| src\components\container\layout\homeview\Map                                                                                             |          1 |        260 |         45 |         29 |        334 |
